City,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
Khatanga,RU,71.9667,102.5,1616281856,20,97,-38.07,9.01
Nabire,ID,-3.3667,135.4833,1616281857,100,94,75.27,2.91
Rikitea,PF,-23.1203,-134.9692,1616281858,5,72,80.06,6.22
Vanimo,PG,-2.6741,141.3028,1616281860,100,85,80.44,5.84
Taksimo,RU,56.3444,114.8794,1616281861,85,82,9.09,2.89
Yumen,CN,40.2833,97.2,1616281863,0,28,23.41,7.36
Morondava,MG,-20.2833,44.2833,1616281864,1,85,78.03,4.99
Chernyshevskiy,RU,63.0128,112.4714,1616281865,100,88,-27.44,12.55
Nampula,MZ,-15.1165,39.2666,1616281867,75,94,71.6,0.69
Skjeberg,NO,59.2333,11.2,1616281868,78,56,42.8,8.05
Tasiilaq,GL,65.6145,-37.6368,1616281870,90,93,24.8,46.04
Cabo San Lucas,MX,22.8909,-109.9124,1616281871,1,21,86.0,4.61
Kumul,CN,42.8,93.45,1616281872,0,16,33.94,4.92
Wukari,NG,7.85,9.7833,1616281688,89,59,83.3,6.44
Castro,BR,-24.7911,-50.0119,1616281875,72,94,66.49,4.56
Bathsheba,BB,13.2167,-59.5167,1616281876,20,57,77.0,13.8
Sitka,US,57.0531,-135.33,1616281718,90,69,35.6,13.8
Port Blair,IN,11.6667,92.75,1616281879,88,76,77.14,4.36
Progreso,MX,21.2833,-89.6667,1616281880,75,53,75.99,8.05
Maragogi,BR,-9.0122,-35.2225,1616281882,0,80,78.06,7.87
Novotroitskaya,RU,45.3267,41.5253,1616281883,75,93,32.0,8.95
Puerto Peñasco,MX,31.3167,-113.5333,1616281648,0,39,76.46,12.17
Tiznit Province,MA,29.5833,-9.5,1616281886,57,87,51.58,12.84
Thompson,CA,55.7435,-97.8558,1616281887,40,37,50.0,3.44
Atuona,PF,-9.8,-139.0333,1616281888,15,79,80.33,13.38
Oktyabr'skoye,RU,43.0645,44.7417,1616281890,92,93,37.4,8.95
Namatanai,PG,-3.6667,152.4333,1616281891,78,63,85.42,4.9
Hermanus,ZA,-34.4187,19.2345,1616281893,32,92,55.99,7.61
Port Elizabeth,ZA,-33.918,25.5701,1616281894,20,94,64.4,18.41
San Patricio,US,28.017,-97.5169,1616281895,1,55,66.0,17.27
Hithadhoo,MV,-0.6,73.0833,1616281897,100,70,83.17,9.91
Zhangjiakou Shi Xuanhua Qu,CN,40.6103,115.0447,1616281898,0,28,29.12,20.0
Ribeira Grande,PT,38.5167,-28.7,1616281900,86,81,59.47,15.26
Arrifes,PT,37.7667,-25.7,1616281901,75,67,59.0,5.75
Luganville,VU,-15.5333,167.1667,1616281903,100,84,78.55,0.11
Horsham,GB,51.064,-0.3272,1616281904,75,81,48.2,4.61
Dukat,RU,62.55,155.55,1616281905,0,57,0.01,2.57
Palmares do Sul,BR,-30.2578,-50.5097,1616281907,12,85,76.64,16.71
Avarua,CK,-21.2078,-159.775,1616281908,20,78,82.4,10.36
Westport,US,41.1415,-73.3579,1616281910,1,43,53.01,5.75
Yulara,AU,-25.2406,130.9889,1616281911,90,100,62.6,10.36
Half Moon Bay,US,37.4636,-122.4286,1616281667,1,66,59.0,14.97
Beringovskiy,RU,63.05,179.3167,1616281914,100,92,-1.05,13.58
Mar del Plata,AR,-38.0023,-57.5575,1616281725,0,77,68.0,2.3
San Angelo,US,31.4638,-100.437,1616281916,1,22,75.2,11.5
Nagato,JP,34.3833,131.2,1616281918,90,88,57.2,6.91
Hilo,US,19.7297,-155.09,1616281710,90,78,71.6,8.05
New Norfolk,AU,-42.7826,147.0587,1616281920,9,51,66.0,1.99
Ponta do Sol,PT,32.6667,-17.1,1616281922,39,58,57.99,5.99
Srednekolymsk,RU,67.45,153.6833,1616281923,0,77,-3.93,2.37
Narsaq,GL,60.9167,-46.05,1616281924,90,93,32.0,9.22
Upernavik,GL,72.7868,-56.1549,1616281926,100,98,-3.26,13.82
Gouré,NE,13.9835,10.2704,1616281927,99,12,93.99,5.01
Adrar,MR,20.5022,-10.0711,1616281929,57,11,69.57,9.95
Sassandra,CI,4.95,-6.0833,1616281930,82,86,78.82,6.02
Caravelas,BR,-17.7125,-39.2481,1616281931,1,90,75.54,6.73
Pisco,PE,-13.7,-76.2167,1616281933,0,68,72.0,21.85
Kudahuvadhoo,MV,2.6708,72.8944,1616281934,98,69,81.84,3.51
Dabwāli,IN,29.95,74.7333,1616281935,27,32,70.09,5.17
Olafsvik,IS,64.8945,-23.7142,1616281937,100,83,41.63,30.71
Avera,US,33.194,-82.5271,1616281938,90,47,55.4,13.8
Chokurdakh,RU,70.6333,147.9167,1616281940,0,95,-15.25,4.09
Yanta,CN,36.2411,115.6672,1616281941,57,36,38.91,7.99
Geraldton,AU,-28.7667,114.6,1616281942,0,35,71.6,14.97
Pasni,PK,25.2631,63.471,1616281944,9,88,74.95,1.88
Barrow,US,71.2906,-156.7887,1616281945,1,71,-7.6,6.91
Tlacotepec (San Mateo),MX,20.0667,-97.8667,1616281947,95,87,56.1,3.89
Tuktoyaktuk,CA,69.4541,-133.0374,1616281948,75,84,-13.0,6.91
Lüderitz,NA,-26.6481,15.1594,1616281949,11,70,66.36,24.49
Toora-Khem,RU,52.4675,96.11,1616281951,51,91,8.13,2.15
Fortuna,US,40.5982,-124.1573,1616281895,40,62,55.99,13.8
San Policarpo,PH,12.1791,125.5072,1616281954,99,83,81.55,12.95
Labuhan,ID,-6.8844,112.2051,1616281955,88,85,78.17,7.23
Petrovsk-Zabaykal'skiy,RU,51.273,108.843,1616281956,95,92,11.21,4.03
Ancud,CL,-41.8697,-73.8203,1616281958,12,86,61.0,1.99
Hamilton,US,39.1834,-84.5333,1616281959,1,21,57.99,8.05
Altay,CN,47.8667,88.1167,1616281961,68,21,26.51,6.89
Cape Town,ZA,-33.9258,18.4232,1616281743,20,72,64.99,12.66
Prince Albert,CA,53.2001,-105.7677,1616281963,75,30,51.8,10.36
San Jerónimo,PE,-11.9472,-75.2829,1616281968,16,66,55.76,3.06
Moa,CU,20.6569,-74.9403,1616281969,11,83,76.98,10.51
Vila Velha,BR,-20.3297,-40.2925,1616281971,75,83,78.8,5.55
Souillac,MU,-20.5167,57.5167,1616281972,40,89,78.8,11.5
Havre-St-Pierre,CA,50.2334,-63.5986,1616281973,1,79,21.2,9.22
Takapau,NZ,-40.0333,176.35,1616281975,84,80,57.0,4.76
Gao,ML,16.6362,1.637,1616281976,26,14,82.2,5.99
Isangel,VU,-19.55,169.2667,1616281977,100,72,81.14,9.75
Naliya,IN,23.2667,68.8333,1616281979,0,81,72.3,7.43
Ixtapa,MX,20.7,-105.2,1616281712,1,65,77.0,8.05
Port Hedland,AU,-20.3167,118.5667,1616281981,75,64,75.2,13.8
Koungou,YT,-12.7336,45.2042,1616281983,75,89,80.6,3.44
Maun,BW,-19.9833,23.4167,1616281984,0,100,68.0,2.13
Salym,RU,60.0625,71.4789,1616281985,100,97,26.19,3.71
Lorengau,PG,-2.0226,147.2712,1616281987,100,73,84.27,7.02
Howell,US,42.6073,-83.9294,1616281988,1,15,53.6,3.44
Santa Marta,CO,11.2408,-74.199,1616281915,86,65,84.99,14.0
Puerto Ayora,EC,-0.7393,-90.3518,1616281991,20,70,84.2,10.36
Petrozavodsk,RU,61.7849,34.3469,1616281992,100,86,24.8,15.66
Sibiti,CG,-3.6819,13.3499,1616281993,99,96,67.41,2.93
Abhā,SA,18.2164,42.5053,1616281956,0,25,62.6,3.58
Torbay,CA,47.6666,-52.7314,1616281996,75,68,24.01,14.97
Iqaluit,CA,63.7506,-68.5145,1616281997,20,70,-5.01,13.8
Santa Rita,BR,-7.1139,-34.9781,1616281999,0,88,77.0,6.91
Saint-Pierre,RE,-21.3393,55.4781,1616282000,40,73,78.8,20.71
Kloulklubed,PW,7.0419,134.2556,1616282001,75,78,82.4,8.05
Baykit,RU,61.67,96.37,1616282003,100,95,-11.47,8.55
La Rioja,ES,42.25,-2.5,1616282004,75,70,41.0,11.5
Göksun,TR,38.021,36.4973,1616282006,0,93,42.8,3.44
Dobrinka,RU,52.1653,40.4731,1616282007,100,94,20.89,3.87
Salalah,OM,17.0151,54.0924,1616282008,0,57,75.2,4.61
Saint George,US,37.1041,-113.5841,1616282010,1,12,70.0,24.16
Vestmannaeyjar,IS,63.4427,-20.2734,1616282011,75,81,41.0,23.02
Clyde River,CA,70.4692,-68.5914,1616282012,1,76,-20.2,0.47
Ol'ga,RU,43.7444,135.2892,1616282014,100,96,32.16,8.01
Zheleznodorozhnyy,RU,55.7503,38.0042,1616282015,75,93,25.0,4.47
Eyl,SO,7.9803,49.8164,1616282017,5,86,74.55,12.21
Sinnamary,GF,5.3833,-52.95,1616282018,39,87,76.84,9.53
Itarema,BR,-2.9248,-39.9167,1616282019,68,81,77.83,8.34
Kavieng,PG,-2.5744,150.7967,1616282021,74,75,84.07,11.01
El Retén,CO,10.6114,-74.2682,1616282022,85,62,86.0,7.18
Careiro da Várzea,BR,-3.2003,-59.8119,1616282024,75,94,77.0,6.91
Porto-Novo,BJ,6.4965,2.6036,1616282025,20,78,82.4,6.91
Lichuan,CN,30.3,108.85,1616282027,100,96,38.23,4.03
Pacific Grove,US,36.6177,-121.9166,1616281991,1,58,57.2,13.8
Beira,MZ,-19.8436,34.8389,1616282029,0,81,75.36,2.64
Severo-Kuril'sk,RU,50.6789,156.125,1616282030,86,80,24.49,21.21
Bambous Virieux,MU,-20.3428,57.7575,1616282032,75,89,79.0,10.36
Laas,IT,46.6166,10.7002,1616282033,0,49,39.2,11.5
Ilulissat,GL,69.2167,-51.1,1616282035,20,67,12.2,4.9
Svay Rieng,KH,11.0879,105.7993,1616282036,26,82,76.06,5.86
Lentekhi,GE,42.7856,42.7261,1616282037,100,85,31.12,3.8
Karakol,KG,42.4907,78.3936,1616282039,40,43,35.56,4.83
Gornopravdinsk,RU,60.05,69.9,1616282040,100,96,24.26,7.27
Airai,TL,-8.9266,125.4092,1616282041,47,80,64.4,2.44
Faanui,PF,-16.4833,-151.75,1616282043,1,67,83.21,7.7
Port Hawkesbury,CA,45.6169,-61.3485,1616282044,1,69,35.01,3.44
Severnyy,RU,50.677,36.5532,1616282046,0,86,30.2,8.95
Morant Bay,JM,17.8815,-76.4093,1616281938,20,69,82.4,17.27
Mogadishu,SO,2.0371,45.3438,1616282048,19,84,80.28,14.45
Dikson,RU,73.5069,80.5464,1616282049,7,82,-23.82,17.69
Richards Bay,ZA,-28.783,32.0377,1616282051,49,92,71.65,3.36
Pitimbu,BR,-7.4706,-34.8086,1616282052,0,88,77.0,6.91
Lubumbashi,CD,-11.6609,27.4794,1616282054,65,95,61.99,1.7
Dingle,PH,10.9995,122.6711,1616282055,0,86,79.03,7.31
Hong Kong,HK,22.2855,114.1577,1616282055,60,83,75.0,6.17
Esperance,AU,-33.8667,121.9,1616281831,37,94,57.2,11.5
Chingirlau,KZ,51.095,54.0814,1616282059,100,95,20.03,7.49
Ilembula,TZ,-8.9,34.5833,1616282060,80,94,61.61,8.12
Raymond,US,43.9015,-70.4703,1616281779,1,27,48.2,3.71
Sangre Grande,TT,10.5835,-61.1177,1616282063,20,65,80.6,12.66
Seoul,KR,37.5683,126.9778,1616281869,75,87,42.8,5.75
East London,ZA,-33.0153,27.9116,1616282003,54,80,69.53,17.67
Rizhao,CN,35.4275,119.4553,1616282066,97,38,41.02,12.21
Talnakh,RU,69.4865,88.3972,1616282068,0,65,-22.79,8.77
Igrim,RU,63.1906,64.4162,1616282069,100,94,-0.51,8.55
Nyaunglebin,MM,17.95,96.7333,1616282071,54,65,69.17,3.42
Naze,JP,28.3667,129.4833,1616282072,75,94,66.2,9.22
Pringsewu,ID,-5.3582,104.9744,1616282073,83,94,71.62,2.62
Praia da Vitória,PT,38.7333,-27.0667,1616281798,40,72,59.0,9.4
Miran Shah,PK,33.0086,70.0697,1616282076,100,71,60.08,5.1
Steinbach am Taunus,DE,50.1667,8.5667,1616282077,0,60,39.0,5.75
Murshidābād,IN,24.1833,88.2667,1616282079,64,30,77.99,5.1
Shimoda,JP,34.6667,138.95,1616282080,100,66,61.0,1.99
Los Llanos de Aridane,ES,28.6585,-17.9182,1616282081,90,63,64.4,14.97
Podor,MR,16.6527,-14.9587,1616282083,0,23,86.0,2.3
Biak,ID,-0.9131,122.8766,1616282084,100,74,79.07,1.63
Ban Nahin,LA,18.2418,104.2122,1616282086,35,83,75.92,3.6
Tegul'det,RU,57.3064,88.1667,1616282087,100,80,29.62,12.73
Örnsköldsvik,SE,63.2909,18.7153,1616282088,29,69,35.6,20.71
Netrakona,BD,24.8833,90.7167,1616282090,46,38,68.7,5.26
Nanortalik,GL,60.1432,-45.2371,1616282091,100,98,31.33,9.66
Kawalu,ID,-7.3817,108.2082,1616282092,74,91,71.42,1.14
Luján,AR,-34.5703,-59.105,1616281803,91,84,66.99,7.54
Tahe,CN,52.3333,124.7333,1616282095,51,91,17.96,2.59
Rāni,IN,25.3503,73.3089,1616282096,3,29,69.71,3.67
Baghdad,IQ,33.3406,44.4009,1616282098,0,34,62.6,4.61
Storsteinnes,NO,69.2408,19.2344,1616282099,99,86,30.2,19.57
Leningradskiy,RU,69.3833,178.4167,1616282100,100,84,-10.25,1.81
Meadow Lake,US,34.8014,-106.5436,1616282102,40,7,79.0,12.66
Tautira,PF,-17.7333,-149.15,1616282104,20,62,87.8,13.8
Lima,PE,-12.0432,-77.0282,1616282105,0,64,75.99,11.5
Zhangjiakou,CN,40.81,114.8794,1616282107,0,29,27.12,16.82
Keminmaa,FI,65.8596,24.8228,1616282108,0,100,28.4,6.91
Kaeo,NZ,-35.1,173.7833,1616282109,4,57,69.01,7.0
Norman Wells,CA,65.282,-126.8329,1616282111,20,60,1.4,9.22
Agadez,NE,19.75,10.25,1616282112,86,7,82.71,11.74
Liepāja,LV,56.5419,21.0367,1616282105,90,93,37.4,21.85
Skarnes,NO,60.2528,11.6797,1616282115,0,38,41.0,20.71
Anadyr,RU,64.75,177.4833,1616282116,0,77,-5.01,11.18
Meulaboh,ID,4.1363,96.1285,1616282117,73,89,76.23,5.23
Tangwani,PK,28.2787,68.9972,1616282119,40,69,75.2,6.91
Mergen,CN,49.1833,125.2167,1616282120,24,68,23.14,8.37
Pangai,TO,-19.8,-174.35,1616282122,32,75,81.86,6.96
Nāgar Karnūl,IN,16.4821,78.3247,1616282123,27,37,71.33,1.88
Panjāb,AF,34.388,67.0233,1616282124,67,93,27.03,1.57
Batemans Bay,AU,-35.7167,150.1833,1616282126,100,81,72.0,1.99
Zhifang,CN,30.35,114.3167,1616282127,100,82,51.8,6.71
Burgeo,CA,47.6167,-57.6152,1616282129,32,79,21.36,9.04
Calbuco,CL,-41.768,-73.1273,1616282130,0,67,59.0,8.05
Cayenne,GF,4.9333,-52.3333,1616282131,75,83,78.8,8.05
Carnarvon,AU,-24.8667,113.6333,1616282133,0,83,71.6,5.75
Nānākuli,US,21.3906,-158.1547,1616282134,40,54,80.6,18.41
Château-Thierry,FR,49.05,3.4,1616282135,3,84,37.0,3.89
Malé,MV,4.1748,73.5089,1616281973,75,83,82.4,6.91
Tiksi,RU,71.6872,128.8694,1616282138,100,99,-17.09,11.68
Kefamenanu,ID,-9.4467,124.4781,1616282139,100,93,74.21,4.79
Chui,UY,-33.6971,-53.4616,1616282141,78,96,70.72,3.02
Pochutla,MX,15.7432,-96.4661,1616282142,40,42,88.0,11.5
Sola,VU,-13.8833,167.55,1616282144,93,75,81.3,10.47
Gamboma,CG,-1.8764,15.8644,1616282145,65,95,68.49,2.51
Camacha,PT,33.0833,-16.3333,1616282146,75,63,60.8,12.66
Vinh,VN,18.6667,105.6667,1616282148,100,92,75.47,4.54
Taoudenni,ML,22.6783,-3.9836,1616282149,0,8,70.27,9.13
Nishihara,JP,26.1842,127.7558,1616282150,90,83,69.8,13.8
Bojnourd,IR,37.4747,57.329,1616282152,0,86,33.8,2.26
Menongue,AO,-14.6585,17.691,1616282153,99,90,64.56,1.34
Berezovyy,RU,51.6667,135.7,1616282155,100,88,23.49,1.95
Viçosa,BR,-20.7539,-42.8819,1616281877,4,96,66.42,4.61
Zhigansk,RU,66.7697,123.3711,1616282157,100,93,15.76,21.36
Baruun-Urt,MN,46.6806,113.2792,1616282159,31,65,14.54,9.53
Curuçá,BR,-0.7289,-47.8481,1616282160,91,90,74.97,3.2
Margate,GB,51.3813,1.3862,1616282161,100,75,46.99,1.99
Uglekamensk,RU,43.2172,133.2303,1616282163,100,74,33.49,1.95
George Town,MY,5.4112,100.3354,1616281994,20,88,78.8,3.44
Shelburne,CA,44.0787,-80.2041,1616282165,1,32,53.6,3.44
Longyearbyen,SJ,78.2186,15.6401,1616282107,40,73,14.0,9.22
Măldăreşti,RO,45.1167,24.0,1616282168,100,89,30.87,7.27
Nova Lima,BR,-19.9856,-43.8467,1616282169,0,57,75.2,5.75
Virginia Beach,US,36.8529,-75.978,1616281965,75,70,44.6,12.66
Aklavik,CA,68.2191,-135.0107,1616281923,20,60,-2.2,3.44
Bilma,NE,18.6853,12.9164,1616282173,12,15,86.09,7.4
Xinyu,CN,27.8043,114.9334,1616282174,100,92,50.58,7.25
Caucayá,CO,-0.1934,-74.7819,1616282176,69,72,82.35,1.3
Lata,PT,40.1629,-8.3327,1616282177,0,76,50.0,4.61
Codrington,AU,-38.2667,141.9667,1616282178,100,64,70.38,11.41
Flin Flon,CA,54.7682,-101.865,1616282180,40,28,51.8,5.75
Campbell River,CA,50.0163,-125.2446,1616282181,90,46,46.99,14.97
Fort Nelson,CA,58.8053,-122.7002,1616282183,20,45,17.6,3.44
Mayo,US,38.8876,-76.5119,1616282184,1,53,50.0,4.61
Portland,US,45.5234,-122.6762,1616281779,75,71,52.0,9.22
Vrangel',RU,42.7297,133.0839,1616282187,100,83,34.45,10.49
Mount Gambier,AU,-37.8333,140.7667,1616282188,73,77,66.2,8.05
Qui Nhon,VN,13.7667,109.2333,1616282189,86,91,76.8,2.15
Abong Mbang,CM,3.9833,13.1833,1616282191,98,96,68.77,3.04
Broken Hill,AU,-31.95,141.4333,1616282192,100,64,68.0,14.97
Dao,PH,11.3937,122.6856,1616282193,33,86,79.54,2.98
Saskylakh,RU,71.9167,114.0833,1616282195,100,98,-35.59,10.25
Cidreira,BR,-30.1811,-50.2056,1616282196,21,87,77.16,20.29
Arraial do Cabo,BR,-22.9661,-42.0278,1616282135,7,84,77.74,18.16
Tarko-Sale,RU,64.9225,77.785,1616282199,100,95,1.54,22.5
Poum,NC,-20.2333,164.0167,1616282200,88,73,79.43,11.43
Soure,BR,-0.7167,-48.5233,1616282202,56,82,78.08,6.78
Saint Anthony,US,45.0205,-93.218,1616282203,1,33,57.2,19.57
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1616282204,5,46,24.8,4.47
Haines Junction,CA,60.7522,-137.5108,1616282206,100,37,14.0,5.75
Adeje,ES,28.1227,-16.726,1616282207,20,67,64.99,4.61
Inhambane,MZ,-23.865,35.3833,1616282209,5,85,74.88,1.9
Esil,KZ,51.9556,66.4042,1616282210,98,94,28.58,15.97
Flinders,AU,-34.5833,150.8552,1616282211,100,91,69.01,7.0
Tuatapere,NZ,-46.1333,167.6833,1616282213,94,94,55.0,5.01
Mumford,GH,5.2618,-0.759,1616282214,45,83,80.89,7.23
Sur,OM,22.5667,59.5289,1616282215,0,37,81.93,8.34
Mahébourg,MU,-20.4081,57.7,1616282217,40,89,78.8,11.5
Te Anau,NZ,-45.4167,167.7167,1616282218,72,68,58.14,0.85
Cherskiy,RU,68.75,161.3,1616282220,0,84,-13.81,5.19
Kaniama,CD,-7.5667,24.1833,1616282221,85,94,66.42,1.59
Bulungu,CD,-4.55,18.6,1616282222,99,97,69.12,3.31
Yarim,YE,14.298,44.3779,1616282224,17,30,53.55,2.33
Dongying,CN,37.4564,118.4856,1616282225,0,28,38.98,13.35
Buy,RU,58.4786,41.53,1616282227,70,94,8.62,7.05
Christchurch,NZ,-43.5333,172.6333,1616282228,20,52,66.0,4.61
Nikel,RU,69.4128,30.222,1616282229,0,74,24.8,3.44
Caniço,PT,32.6333,-16.85,1616282231,75,72,59.0,13.8
Talaya,RU,61.3833,152.75,1616282232,0,57,-2.97,0.98
Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,1616282234,67,95,72.52,11.61
Egvekinot,RU,66.3167,-179.1667,1616282235,100,79,-3.69,9.37
Arrondissement du Havre,FR,49.5833,0.3333,1616282236,90,93,44.6,4.61
Yibin,CN,28.7667,104.6238,1616282238,100,74,50.59,10.0
Estelle,US,29.8458,-90.1067,1616282239,75,59,63.0,6.96
College,US,64.8569,-147.8028,1616282241,1,35,19.4,8.05
Visnes,NO,59.3556,5.2242,1616282242,90,70,42.8,29.93
Montague,US,42.5356,-72.5351,1616282109,1,25,51.8,5.75
Port Lincoln,AU,-34.7333,135.8667,1616282245,2,65,72.41,9.31
Kamenka,RU,51.3223,42.7678,1616282246,93,93,18.45,4.54
Ambon City,ID,-3.6954,128.1814,1616282248,20,83,80.6,6.91
Laguna,US,38.421,-121.4238,1616282178,20,36,64.0,6.91
Rocha,UY,-34.4833,-54.3333,1616282250,99,98,68.13,5.77
Matara,LK,5.9485,80.5353,1616282251,70,88,75.81,3.85
Bilibino,RU,68.0546,166.4372,1616282253,0,69,-13.58,1.48
Bonthe,SL,7.5264,-12.505,1616282254,19,74,77.36,6.04
Lashio,MM,22.9333,97.75,1616282256,70,48,59.14,1.43
Vredendal,ZA,-31.6683,18.5012,1616282257,0,67,61.75,1.3
Constitución,CL,-35.3333,-72.4167,1616282258,100,80,58.75,8.05
Sorong,ID,-0.8833,131.25,1616282260,100,83,80.01,5.14
Bay Roberts,CA,47.5999,-53.2648,1616282261,42,70,24.01,4.0
Katherine,AU,-14.4667,132.2667,1616282263,58,83,80.6,5.75
Yerbogachën,RU,61.2767,108.0108,1616282264,0,91,-33.43,6.13
Kemijärvi,FI,66.7131,27.4306,1616282265,100,97,30.09,8.79
Diffa,NE,13.3154,12.6113,1616282267,83,34,84.87,2.26
Zhangaözen,KZ,43.3,52.8,1616282268,6,89,35.46,6.55
Mozarlândia,BR,-14.7447,-50.5706,1616282269,20,80,75.9,2.62
Murgab,TM,37.4966,61.9714,1616282271,0,81,46.4,4.0
Sept-Îles,CA,50.2001,-66.3821,1616282272,40,79,27.0,4.36
Krasnosel'kup,RU,65.7,82.4667,1616282274,100,79,-3.44,24.02
Sergeevka,KZ,53.88,67.4158,1616282275,95,93,29.34,16.58
Rock Sound,BS,24.9,-76.2,1616282276,10,70,75.92,3.53
Kandrian,PG,-6.2167,149.55,1616282278,64,72,84.74,6.26
Sangar,RU,63.9242,127.4739,1616282279,100,92,14.97,18.72
Berlevåg,NO,70.8578,29.0864,1616282280,99,82,32.34,13.4
Santa Maria,BR,-29.6842,-53.8069,1616282282,20,46,91.4,10.36
Rio Grande,BR,-32.035,-52.0986,1616282204,17,87,77.0,3.0
Balkhash,KZ,46.844,74.9804,1616282284,100,82,32.36,5.37
Amparafaravola,MG,-17.5833,48.2167,1616282287,100,98,64.81,3.15
Kruisfontein,ZA,-34.0033,24.7314,1616282099,15,84,63.0,1.99
Jishou,CN,28.3167,109.7167,1616282289,100,92,46.53,2.77
Mossamedes,AO,-15.1961,12.1522,1616282217,19,74,73.42,2.68
Tshane,BW,-24.0196,21.8684,1616282292,41,48,73.63,12.01
Koubia,GN,11.5833,-11.9,1616282293,98,28,80.51,1.72
Senno,RU,59.5336,33.9167,1616282295,100,77,24.01,11.99
Powell,US,40.1578,-83.0752,1616282296,1,23,57.99,5.75
San Cristobal,VE,7.7669,-72.225,1616282238,40,69,80.6,5.75
Galesong,ID,-5.3166,119.3661,1616282299,20,94,77.0,4.61
Sawākin,SD,19.1059,37.3321,1616282300,0,62,76.06,4.83
Eureka,US,40.8021,-124.1637,1616282301,72,63,57.0,5.99
